ITEM_ID,TITLES
nm0257151,42140 | 122524 | 2349
nm0225954,42140 | 208200 | 6962 | 54315
nm0910644,42140
nm0004486,144 | 147227 | 42208 | 250029 | 5653 | 51735 | 10434 | 65002 | 11222 | 48205 | 68348 | 67539 | 6404 | 198511 | 41772 | 24858 | 552 | 613 | 14804 | 7797 | 6968 | 8055 | 252822 | 365045 | 336197 | 398173 | 415401 | 432892 | 538061
nm0761420,144 | 10434 | 130233 | 55562 | 130544
nm0231652,144 | 10341 | 97041
nm0604384,301883
nm0682293,301883
nm0576083,301883 | 137096 | 120834 | 287169 | 47401
nm0357963,301883 | 287169
nm0172615,301883 | 87372 | 108256 | 43387 | 26166 | 50694 | 285401 | 38807 | 60646 | 109239
nm0455491,301883 | 65210 | 152823 | 29023
nm0366586,84772
nm0930290,84772 | 134144
nm0822060,84772
nm0391128,84772
nm0078116,3870
nm0000367,3870 | 74817 | 42200 | 110428 | 38438 | 42145 | 4480 | 4747 | 39413 | 3935 | 4031 | 48862 | 39543 | 4274 | 41930 | 19223 | 30163 | 51980 | 64983 | 40192 | 1716 | 4267 | 2395 | 9564 | 41804 | 38021 | 51447 | 428558 | 52713 | 63171 | 6277 | 4548 | 31932 | 4146 | 46978 | 64133 | 24260 | 39415 | 19123 | 12579 | 4202 | 4483 | 10484 | 47489 | 6320 | 3934 | 31300 | 48524 | 11673 | 12157 | 20978 | 1492 | 41580 | 197537 | 10486 | 51191 | 58058 | 47119 | 3587 | 47199 | 9313 | 9597 | 62009 | 7093 | 162383 | 10481 | 11444 | 2899 | 27834 | 58509 | 240200 | 36561 | 79031 | 7229 | 14652 | 38376 | 21778 | 9381 | 54552 | 7291 | 5070 | 14644 | 72822 | 31325 | 14650 | 13727 | 31172 | 15576 | 35164 | 13635 | 60254 | 37832 | 99770 | 82123 | 151826 | 204768 | 201759 | 271331 | 290556 | 337107 | 358725 | 589978 | 394262 | 433694 | 478508 | 570128
nm0000134,3870 | 12637 | 37774 | 11005 | 262 | 11371 | 11778 | 42459 | 117 | 240 | 32077 | 36094 | 2924 | 64807 | 9013 | 635 | 11416 | 5971 | 949 | 586 | 8195 | 73604 | 73612 | 42589 | 203 | 103 | 1578 | 52744 | 311 | 68 | 39787 | 769 | 1598 | 22423 | 36288 | 1607 | 10433 | 8092 | 3036 | 524 | 9566 | 9819 | 819 | 2142 | 9535 | 17711 | 31582 | 2749 | 11978 | 1597 | 13536 | 5851 | 9932 | 693 | 10555 | 11058 | 1247 | 45881 | 11096 | 78571 | 8944 | 26171 | 39451 | 23631 | 13389 | 82693 | 137093 | 51876 | 398978 | 44113 | 49021 | 58219 | 75638 | 184341 | 122800 | 291870 | 87567 | 363992 | 369524 | 242076 | 257211 | 112205 | 274479 | 336004 | 361671 | 475557
nm0761212,3870 | 32627 | 106224 | 198044 | 11767 | 194706 | 197237 | 4196 | 150587 | 123763 | 74948 | 25763 | 4789 | 55836 | 60670 | 209357
nm0366008,258830 | 163233 | 118943 | 341903 | 190857 | 193899 | 193838 | 116857 | 191427 | 28196 | 125673 | 98078 | 112485 | 3059 | 36106
nm0038106,258830 | 118943 | 190857 | 132394 | 49270 | 131085 | 194066 | 20650 | 189584 | 190856 | 190883
nm0424530,258830 | 163233 | 132394 | 194066 | 20650 | 189584
nm0250676,258830 | 132394 | 189584 | 36874 | 127105 | 194069
nm0173994,258830 | 163233 | 118943 | 194069
nm0214651,258830 | 36874 | 194069
nm0043018,258830 | 163233 | 194069 | 53385
nm0376829,258830 | 118943 | 194066 | 194069
nm0601698,163233 | 189586 | 92349 | 111302 | 134475 | 43595
nm0681933,163233 | 193838 | 189584 | 36874 | 127105 | 128671 | 36822 | 92349 | 192301 | 95866 | 136842 | 70753 | 70801 | 143277 | 175330 | 175334 | 71067 | 111575 | 73575 | 73969 | 85507 | 91715 | 156356 | 105548
nm0456804,163233 | 49270 | 294983
nm0163559,163233 | 341903 | 189586 | 194021
nm0409390,118943 | 132394 | 53368 | 53410 | 53412
nm0311375,118943
nm0277411,118943 | 194069 | 193959
